PRISM Time Series Data
Locations: 11
"Climate variables: tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2025-03-01 - 2025-09-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-May-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
SDSU,-117.0726,32.7747,269,2025-03-01,54.2,63.0,71.8
SDSU,-117.0726,32.7747,269,2025-03-02,53.0,57.6,62.2
SDSU,-117.0726,32.7747,269,2025-03-03,50.7,56.2,61.7
SDSU,-117.0726,32.7747,269,2025-03-04,45.7,52.2,58.6
SDSU,-117.0726,32.7747,269,2025-03-05,45.9,55.4,64.9
SDSU,-117.0726,32.7747,269,2025-03-06,47.9,55.8,63.8
SDSU,-117.0726,32.7747,269,2025-03-07,42.8,50.2,57.7
SDSU,-117.0726,32.7747,269,2025-03-08,42.6,50.9,59.2
SDSU,-117.0726,32.7747,269,2025-03-09,41.6,53.9,66.2
SDSU,-117.0726,32.7747,269,2025-03-10,43.5,57.4,71.4
SDSU,-117.0726,32.7747,269,2025-03-11,45.1,58.3,71.6
SDSU,-117.0726,32.7747,269,2025-03-12,51.1,55.8,60.6
SDSU,-117.0726,32.7747,269,2025-03-13,54.5,57.7,61.0
SDSU,-117.0726,32.7747,269,2025-03-14,47.7,51.7,55.7
SDSU,-117.0726,32.7747,269,2025-03-15,47.4,51.0,54.5
SDSU,-117.0726,32.7747,269,2025-03-16,45.6,54.2,62.8
SDSU,-117.0726,32.7747,269,2025-03-17,44.3,55.8,67.3
SDSU,-117.0726,32.7747,269,2025-03-18,49.7,56.9,64.1
SDSU,-117.0726,32.7747,269,2025-03-19,46.4,54.8,63.3
SDSU,-117.0726,32.7747,269,2025-03-20,46.5,61.6,76.6
SDSU,-117.0726,32.7747,269,2025-03-21,46.6,58.7,70.8
SDSU,-117.0726,32.7747,269,2025-03-22,45.8,57.8,69.8
SDSU,-117.0726,32.7747,269,2025-03-23,48.6,59.0,69.4
SDSU,-117.0726,32.7747,269,2025-03-24,51.8,59.9,68.0
SDSU,-117.0726,32.7747,269,2025-03-25,51.3,63.2,75.1
SDSU,-117.0726,32.7747,269,2025-03-26,53.9,61.4,68.8
SDSU,-117.0726,32.7747,269,2025-03-27,55.2,57.3,59.3
SDSU,-117.0726,32.7747,269,2025-03-28,55.9,61.1,66.3
SDSU,-117.0726,32.7747,269,2025-03-29,54.5,59.2,63.9
SDSU,-117.0726,32.7747,269,2025-03-30,51.2,57.2,63.1
SDSU,-117.0726,32.7747,269,2025-03-31,50.8,58.1,65.4
SDSU,-117.0726,32.7747,269,2025-04-01,52.9,56.6,60.3
SDSU,-117.0726,32.7747,269,2025-04-02,52.7,56.7,60.6
SDSU,-117.0726,32.7747,269,2025-04-03,49.8,54.5,59.1
SDSU,-117.0726,32.7747,269,2025-04-04,45.5,53.2,60.9
SDSU,-117.0726,32.7747,269,2025-04-05,44.8,55.4,65.9
SDSU,-117.0726,32.7747,269,2025-04-06,46.1,59.7,73.2
SDSU,-117.0726,32.7747,269,2025-04-07,48.7,63.2,77.7
SDSU,-117.0726,32.7747,269,2025-04-08,48.3,61.6,74.8
SDSU,-117.0726,32.7747,269,2025-04-09,49.7,61.2,72.6
SDSU,-117.0726,32.7747,269,2025-04-10,52.0,63.7,75.4
SDSU,-117.0726,32.7747,269,2025-04-11,51.8,65.3,78.8
SDSU,-117.0726,32.7747,269,2025-04-12,52.0,65.3,78.7
SDSU,-117.0726,32.7747,269,2025-04-13,54.8,62.1,69.4
SDSU,-117.0726,32.7747,269,2025-04-14,53.2,60.4,67.6
SDSU,-117.0726,32.7747,269,2025-04-15,53.0,59.5,66.0
SDSU,-117.0726,32.7747,269,2025-04-16,53.2,58.6,64.1
SDSU,-117.0726,32.7747,269,2025-04-17,55.2,61.1,67.0
SDSU,-117.0726,32.7747,269,2025-04-18,54.9,60.4,65.9
SDSU,-117.0726,32.7747,269,2025-04-19,49.7,55.6,61.6
SDSU,-117.0726,32.7747,269,2025-04-20,48.4,59.4,70.5
SDSU,-117.0726,32.7747,269,2025-04-21,50.4,61.1,71.9
SDSU,-117.0726,32.7747,269,2025-04-22,51.2,59.3,67.4
SDSU,-117.0726,32.7747,269,2025-04-23,54.5,60.0,65.5
SDSU,-117.0726,32.7747,269,2025-04-24,55.5,60.7,65.9
SDSU,-117.0726,32.7747,269,2025-04-25,54.8,60.5,66.1
SDSU,-117.0726,32.7747,269,2025-04-26,53.9,58.0,62.1
SDSU,-117.0726,32.7747,269,2025-04-27,52.2,57.8,63.4
SDSU,-117.0726,32.7747,269,2025-04-28,51.8,57.9,64.0
SDSU,-117.0726,32.7747,269,2025-04-29,51.1,57.8,64.4
SDSU,-117.0726,32.7747,269,2025-04-30,50.5,59.5,68.5
SDSU,-117.0726,32.7747,269,2025-05-01,56.3,62.9,69.5
SDSU,-117.0726,32.7747,269,2025-05-02,57.4,62.3,67.2
SDSU,-117.0726,32.7747,269,2025-05-03,57.9,62.6,67.2
SDSU,-117.0726,32.7747,269,2025-05-04,53.3,58.1,63.0
SDSU,-117.0726,32.7747,269,2025-05-05,52.8,55.8,58.7
SDSU,-117.0726,32.7747,269,2025-05-06,53.3,57.5,61.8
SDSU,-117.0726,32.7747,269,2025-05-07,53.4,59.2,65.0
SDSU,-117.0726,32.7747,269,2025-05-08,56.1,63.4,70.7
SDSU,-117.0726,32.7747,269,2025-05-09,57.2,66.0,74.9
SDSU,-117.0726,32.7747,269,2025-05-10,56.7,71.0,85.2
SDSU,-117.0726,32.7747,269,2025-05-11,58.0,74.6,91.3
SDSU,-117.0726,32.7747,269,2025-05-12,59.7,70.4,81.1
SDSU,-117.0726,32.7747,269,2025-05-13,56.1,63.2,70.2
SDSU,-117.0726,32.7747,269,2025-05-14,54.1,60.1,66.0
SDSU,-117.0726,32.7747,269,2025-05-15,53.1,60.9,68.7
SDSU,-117.0726,32.7747,269,2025-05-16,56.0,62.4,68.8
SDSU,-117.0726,32.7747,269,2025-05-17,57.1,63.0,68.8
SDSU,-117.0726,32.7747,269,2025-05-18,56.7,60.6,64.4
SDSU,-117.0726,32.7747,269,2025-05-19,54.1,60.6,67.1
SDSU,-117.0726,32.7747,269,2025-05-20,54.1,64.6,75.2
SDSU,-117.0726,32.7747,269,2025-05-21,56.0,69.4,82.8
SDSU,-117.0726,32.7747,269,2025-05-22,57.3,68.3,79.3
SDSU,-117.0726,32.7747,269,2025-05-23,58.9,66.6,74.3
SDSU,-117.0726,32.7747,269,2025-05-24,59.2,65.0,70.7
SDSU,-117.0726,32.7747,269,2025-05-25,57.6,62.8,68.0
SDSU,-117.0726,32.7747,269,2025-05-26,58.3,63.9,69.5
SDSU,-117.0726,32.7747,269,2025-05-27,59.2,65.4,71.5
SDSU,-117.0726,32.7747,269,2025-05-28,59.6,65.2,70.9
SDSU,-117.0726,32.7747,269,2025-05-29,58.8,63.3,67.7
SDSU,-117.0726,32.7747,269,2025-05-30,58.9,65.3,71.6
SDSU,-117.0726,32.7747,269,2025-05-31,60.1,70.2,80.3
SDSU,-117.0726,32.7747,269,2025-06-01,60.5,70.0,79.4
SDSU,-117.0726,32.7747,269,2025-06-02,61.3,72.9,84.4
SDSU,-117.0726,32.7747,269,2025-06-03,59.8,67.4,75.0
SDSU,-117.0726,32.7747,269,2025-06-04,58.1,64.5,70.9
SDSU,-117.0726,32.7747,269,2025-06-05,59.0,62.6,66.3
SDSU,-117.0726,32.7747,269,2025-06-06,60.1,62.6,65.2
SDSU,-117.0726,32.7747,269,2025-06-07,60.2,63.2,66.3
SDSU,-117.0726,32.7747,269,2025-06-08,60.3,64.2,68.1
